DateMesure (H M S); Temperature; Pression; Humidite 
19:47:49;31,75;980,0700000000001;64,49 
19:48:49;32,03;980,12;62,55 
19:49:49;32,14;980,11;61,97 
19:50:49;32,18;980,17;61,48 
19:51:50;32,27;980,08;61,13 
19:52:50;32,32;980,14;60,0 
19:53:50;32,28;980,14;60,89 
19:54:50;32,25;980,21;60,93 
19:55:50;32,24;980,28;60,93 
19:56:50;32,14;980,39;61,19 
19:57:50;32,07;980,39;61,12 
19:58:50;32,03;980,44;61,02 
19:59:50;32,01;980,51;61,16 
20:00:51;31,92;980,5;61,41 
20:01:51;31,75;980,54;61,4 
20:02:51;31,65;980,57;61,62 
20:03:51;31,74;980,56;61,6 
20:04:51;31,7;980,66;61,46 
20:05:51;31,64;980,66;61,94 
20:06:51;31,5;980,64;61,64 
20:07:51;31,46;980,68;61,89 
20:08:51;31,36;980,73;61,79 
20:09:52;31,29;980,79;61,61 
20:10:52;31,29;980,79;61,9 
20:11:52;31,22;980,81;62,29 
20:12:52;31,19;980,86;62,32 
20:13:52;31,12;980,86;62,19 
20:14:52;30,96;980,85;62,1 
20:15:52;30,81;980,87;62,46 
20:16:52;30,71;980,87;62,67 
20:17:53;30,65;980,9;62,92 
20:18:53;30,5;980,93;63,12 
20:19:53;30,46;980,99;62,98 
20:20:53;30,39;981,03;63,01 
20:21:53;30,32;981,1;63,16 
20:22:53;30,15;981,16;63,38 
20:23:53;30,01;981,18;63,71 
20:24:53;29,96;981,24;64,07 
20:25:53;29,89;981,26;64,25 
20:26:54;29,83;981,33;64,51 
20:27:54;29,7;981,35;64,67 
20:28:54;29,71;981,44;64,67 
20:29:54;29,63;981,5;64,76 
20:30:54;29,49;981,55;65,13 
20:31:54;29,47;981,69;65,18 
20:32:54;29,33;981,73;65,34 
20:33:54;29,33;981,82;65,4 
20:34:55;29,21;981,76;65,68 
20:35:55;29,13;981,79;65,53 
20:36:55;29,02;981,75;65,74 
20:37:55;28,98;981,67;65,56 
20:38:55;28,91;981,7;65,43 
20:39:55;28,85;981,84;65,4 
20:40:55;28,69;981,83;65,87 
20:41:55;28,6;981,88;66,14 
20:42:55;28,57;982,0;66,31 
20:43:56;28,61;982,00999999999999;66,18 
20:44:56;28,59;982,00999999999999;66,05 
20:45:56;28,47;981,99;66,41 
20:46:56;28,5;982,05;66,15 
20:47:56;28,48;981,93;65,94 
20:48:56;28,47;981,94;65,83 
20:49:56;28,45;981,95;65,97 
20:50:56;28,4;981,95;66,11 
20:51:56;28,36;981,0;66,48 
20:52:57;28,29;982,00999999999999;66,68 
20:53:57;28,24;982,02;66,91 
20:54:57;28,27;981,98;66,66 
20:55:57;28,24;981,9;66,97 
20:56:57;28,13;981,97;67,4 
20:57:57;28,07;982,04;67,72 
20:58:57;28,0;982,04;67,0 
20:59:57;28,02;981,97;68,21 
21:00:58;28,05;981,93;68,45 
21:01:58;28,01;981,92;68,73 
21:02:58;27,97;981,76;68,84 
21:03:58;28,01;981,74;69,16 
21:04:58;28,03;981,66;70,15 
21:05:58;28,03;981,62;70,07 
21:06:58;27,96;981,57;70,6 
21:07:58;27,89;981,56;71,02 
21:08:59;27,81;981,63;70,75 
21:09:59;27,75;981,68;71,18 
21:10:59;27,67;981,62;71,3 
21:11:59;27,6;981,66;71,59 
21:12:59;27,61;981,67;72,14 
21:13:59;27,64;981,72;70,9 
21:14:59;27,58;981,68;71,31 
21:15:59;27,5;981,8;71,25 
21:16:59;27,46;981,71;71,85 
21:18:00;27,46;981,78;72,25 
21:19:00;27,54;981,8;71,72 
21:20:00;27,54;981,77;70,89 
21:21:00;27,56;981,84;71,67 
21:22:00;27,57;981,82;71,11 
21:23:00;27,61;981,86;70,78 
21:24:00;27,62;981,83;70,83 
21:25:00;27,63;981,85;70,89 
21:26:00;27,73;981,85;70,93 
21:27:00;27,74;981,85;71,12 
21:28:00;27,69;981,91;71,36 
21:29:00;27,58;981,92;71,95 
21:30:00;27,49;982,02;72,46 
21:31:01;27,43;981,97;72,33 
21:32:01;27,47;982,0700000000001;72,6 
21:33:01;27,37;982,14;72,3 
21:34:01;27,41;982,09;72,08 
21:35:01;27,49;982,0700000000001;72,28 
21:36:01;27,57;982,14;72,62 
21:37:01;27,53;982,09;72,73 
21:38:01;27,47;982,09;72,99 
21:39:01;27,46;982,08;73,1 
21:40:01;27,5;982,14;73,18 
21:41:02;27,35;982,3;73,61 
21:42:02;27,43;982,46;72,95 
21:43:02;27,43;982,52;72,82 
21:44:02;27,38;982,62;73,02 
21:45:02;27,31;982,74;73,02 
21:46:02;27,28;982,74;72,77 
21:47:02;27,21;982,8;72,77 
21:48:02;27,2;982,76;72,67 
21:49:02;27,26;982,78;72,28 
21:50:03;27,28;982,78;71,59 
21:51:03;27,28;982,7;71,25 
21:52:03;27,22;982,66;71,27 
21:53:03;27,22;982,7;70,56 
21:54:03;27,15;982,85;71,38 
21:55:03;27,1;982,85;71,9 
21:56:03;27,06;982,91;71,6 
21:57:03;27,13;982,95;71,72 
21:58:03;26,92;983,02;72,4 
21:59:04;26,88;983,14;72,42 
22:00:04;26,96;983,14;71,75 
22:01:04;27,04;983,15;71,55 
22:02:04;26,84;983,26;72,33 
22:03:04;26,84;983,21;72,28 
22:04:04;26,79;983,32;72,19 
22:05:04;26,73;983,4;72,42 
22:06:04;26,73;983,49;72,37 
22:07:04;26,82;983,53;72,05 
22:08:05;26,75;983,59;72,51 
22:09:05;26,78;983,69;72,65 
22:10:05;26,72;983,59;72,88 
22:11:05;26,72;983,49;72,63 
22:12:05;26,73;983,42;72,52 
22:13:05;26,59;983,36;73,03 
22:14:05;26,69;983,31;72,49 
22:15:05;26,67;983,26;72,39 
22:16:06;26,7;983,34;72,19 
22:17:06;26,57;983,42;72,88 
22:18:06;26,46;983,47;73,49 
22:19:06;26,57;983,43;72,76 
22:20:06;26,51;983,49;72,92 
22:21:06;26,37;983,59;73,32 
22:22:06;26,36;983,59;73,3 
22:23:06;26,43;983,62;72,92 
22:24:06;26,31;983,68;73,18 
22:25:07;26,25;983,71;73,32 
22:26:07;26,16;983,81;73,54 
22:27:07;26,19;983,87;73,4 
22:28:07;26,28;983,93;73,13 
22:29:07;26,23;983,95;73,06 
22:30:07;26,21;984,00999999999999;73,13 
22:31:07;26,14;984,0599999999999;73,62 
22:32:07;26,13;984,05;73,59 
22:33:08;26,2;984,0599999999999;73,36 
22:34:08;26,08;984,03;74,01 
22:35:08;26,0;983,97;74,18 
22:36:08;26,03;983,98;73,99 
22:37:08;26,02;984,00999999999999;73,0 
22:38:08;25,97;984,1;74,31 
22:39:08;25,91;984,1;74,73 
22:40:08;25,92;984,16;74,44 
22:41:08;25,91;984,18;74,9 
22:42:09;25,98;984,15;74,7 
22:43:09;26,04;984,17;74,24 
22:44:09;26,05;984,1;74,12 
22:45:09;26,1;984,18;73,98 
22:46:09;26,11;984,29;73,7 
22:47:09;26,06;984,64;73,92 
22:48:09;25,89;984,91;74,77 
22:49:09;25,86;984,81;74,89 
22:50:10;25,89;984,57;74,57 
22:51:10;25,88;984,52;74,53 
22:52:10;25,84;984,55;74,92 
22:53:10;25,79;984,43;75,08 
22:54:10;25,77;984,48;75,51 
22:55:10;25,74;984,43;76,38 
22:56:10;25,71;984,45;76,38 
22:57:10;25,67;984,46;76,44 
22:58:10;25,68;984,45;76,69 
22:59:10;25,7;984,5;77,03 
23:00:10;25,71;984,48;77,42 
23:01:10;25,71;984,42;76,95 
23:02:10;25,56;984,41;76,98 
23:03:11;25,57;984,33;77,07 
23:04:11;25,57;984,18;76,95 
23:05:11;25,56;984,19;76,81 
23:06:11;25,64;984,15;76,43 
23:07:11;25,68;984,18;76,3 
23:08:11;25,67;984,13;76,49 
23:09:11;25,66;984,0599999999999;76,81 
23:10:11;25,55;984,03;76,67 
23:11:11;25,47;983,91;77,48 
23:12:12;25,45;983,88;77,61 
23:13:12;25,37;983,89;77,97 
23:14:12;25,41;983,88;78,09 
23:15:12;25,32;983,89;77,73 
23:16:12;25,34;983,83;78,37 
23:17:12;25,31;983,84;78,12 
23:18:12;25,35;983,76;78,24 
23:19:12;25,28;983,6;78,49 
23:20:12;25,29;983,58;78,12 
23:21:13;25,37;983,52;77,75 
23:22:13;25,39;983,5;76,96 
23:23:13;25,33;983,53;77,93 
23:24:13;25,38;983,51;78,25 
23:25:13;25,43;983,47;78,66 
23:26:13;25,39;983,48;78,4 
23:27:13;25,39;983,41;78,34 
23:28:13;25,45;983,33;77,9 
23:29:14;25,44;983,44;78,15 
23:30:14;25,5;983,42;78,12 
23:31:14;25,37;983,37;77,57 
23:32:14;25,4;983,39;77,94 
23:33:14;25,45;983,51;78,13 
23:34:14;25,45;983,48;78,15 
23:35:14;25,43;983,56;78,56 
23:36:14;25,44;983,57;78,57 
23:37:14;25,51;983,59;77,39 
23:38:15;25,54;983,62;76,46 
23:39:15;25,61;983,56;75,57 
23:40:15;25,64;983,62;74,24 
23:41:15;25,63;983,68;73,48 
23:42:15;25,67;983,68;73,63 
23:43:15;25,7;983,72;74,32 
23:44:15;25,71;983,72;74,31 
23:45:15;25,88;983,71;72,03 
23:46:15;25,93;983,67;68,93 
23:47:16;25,93;983,76;72,2 
23:48:16;25,92;983,86;73,64 
23:49:16;25,84;983,89;76,15 
23:50:16;25,78;983,96;77,08 
23:51:16;25,75;983,99;77,59 
23:52:16;25,7;983,97;77,93 
23:53:16;25,66;983,97;78,02 
23:54:16;25,59;984,04;73,5 
23:55:16;25,58;984,04;74,35 
23:56:17;25,56;984,11;77,32 
23:57:17;25,4;984,16;74,57 
23:58:17;25,24;984,17;72,0 
23:59:17;25,24;984,28;73,74 
